epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_s
1,4.416181,0.026927,4.318465,0.018071,0.00010000,6254.12
2,0.968879,0.741019,0.013684,0.997776,0.00020000,3057.29
3,0.331728,0.902856,0.004399,0.999166,0.00030000,3003.93
4,0.289594,0.912028,0.013633,0.995552,0.00029847,3125.23
5,0.246487,0.927767,0.003913,0.998610,0.00029392,2976.68
6,0.227317,0.932875,0.001594,0.999722,0.00028644,3158.01
7,0.191380,0.940623,0.002619,0.999166,0.00027619,3164.52
8,0.175762,0.947606,0.001924,0.999166,0.00026336,3140.49
9,0.164441,0.950837,0.001625,0.999166,0.00024823,3121.60
10,0.154290,0.953721,0.001788,0.999444,0.00023110,3121.95
11,0.139470,0.958412,0.000295,1.000000,0.00021231,3139.37
12,0.129038,0.960635,0.000831,0.999722,0.00019226,3110.59
13,0.123138,0.962094,0.000108,1.000000,0.00017135,4076.84
14,0.107449,0.967619,0.000155,1.000000,0.00015000,3314.63
